Community Name,Room,Topic,Topic Start Date,Topic End Date,Advisor Name,Subtopic,Private Question,Question Number,Question Title,Question Details,Advisor Selections,Advisor Comment,Replied to Response,Replied to Response From,Date/Time Posted
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Harold Boutte, Jr, MD",Duopa Enrollment,N,5,"As shown in the resource, only 33% of enrollment forms come in with complete chart notes and half of patients never start on Duopa. From your perspective, what do you think of these numbers?",,,"These numbers are fairly accurate, however we have seen steady improvement thanks to the hard work of Carolyn Taylor and Avram Fraint to get these patients through the pipeline.",,,12/10/20 8:08
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,Kendall Cook,Duopa Enrollment,N,5,"As shown in the resource, only 33% of enrollment forms come in with complete chart notes and half of patients never start on Duopa. From your perspective, what do you think of these numbers?",,,Dayanna Ocegueda Thank you for this feedback.  We are really interested in learning more about this communication.  Can you expand more on your communication with the DuoConnect nurse case manager?  How often do you speak with her/him?  Do you setup specific time to talk with them?  Any advice on how you have adjusted to make this communication better?,I think those numbers are pretty low. It can all be brought up with the proper training. I worked closely with the DuoConnect nurse case manager to make sure all the pivotal information needed was in the notes I was submitting. I have a check list with the criteria needed for approval. Prior to submitting any forms I go through the notes to make sure everything needed is documented if not Leonard Verhagen Jessica Karl will addend the notes as necessary.,Dayanna Ocegueda,12/9/20 12:28
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,Tom Davis,Duopa Enrollment,N,5,"As shown in the resource, only 33% of enrollment forms come in with complete chart notes and half of patients never start on Duopa. From your perspective, what do you think of these numbers?",,,I think some providers must enroll patients at the patients request but do not really think they are good candidates.,,,12/3/20 6:21
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Avram Fraint, MD, MS",Duopa Enrollment,N,5,"As shown in the resource, only 33% of enrollment forms come in with complete chart notes and half of patients never start on Duopa. From your perspective, what do you think of these numbers?",,,"I am surprised the number is so low. From my end, I always try to make sure that my note includes any information the insurance company may need to proceed with Duopa.",,,12/4/20 8:45
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Caitlin Houghton, MD",Duopa Enrollment,N,5,"As shown in the resource, only 33% of enrollment forms come in with complete chart notes and half of patients never start on Duopa. From your perspective, what do you think of these numbers?",,,"The time to procedure is about right.  I tend to book case about 4 weeks out.  
The 50% get the tube I think is a bit low.  Might be nice to know where they fall out.",,,12/8/20 11:01
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Jessica Karl, PhD, PA-C",Duopa Enrollment,N,5,"As shown in the resource, only 33% of enrollment forms come in with complete chart notes and half of patients never start on Duopa. From your perspective, what do you think of these numbers?",,,I think this makes sense. Our center has prescribed Duopa so much that we have overcome the chart deficiencies but I recall early on that we would have to resubmit our enrollment forms/chart notes because of this. Dayanna (medical assistant/coordinator) has also helped with this process immensely. She makes sure prior to submission that everything is in place. Dayanna Ocegueda I am sure you have more to comment!,,,12/3/20 9:29
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Jessica Karl, PhD, PA-C",Duopa Enrollment,N,5,"As shown in the resource, only 33% of enrollment forms come in with complete chart notes and half of patients never start on Duopa. From your perspective, what do you think of these numbers?",,,I do not think it requires extra work just specific wording. In DBS there is also specific information insurance companies look at to approve the therapy.,@all Great insights into your process and workflow for submitting Duopa patient enrollment forms.  My question to all on the Neurologist side: Does Duopa require extra work for chart notes as compared to other advanced therapies after a prescription is submitted?,Douglas Varian,12/10/20 12:45
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,Dayanna Ocegueda,Duopa Enrollment,N,5,"As shown in the resource, only 33% of enrollment forms come in with complete chart notes and half of patients never start on Duopa. From your perspective, what do you think of these numbers?",,,"I think those numbers are pretty low. It can all be brought up with the proper training. I worked closely with the DuoConnect nurse case manager to make sure all the pivotal information needed was in the notes I was submitting. I have a check list with the criteria needed for approval. Prior to submitting any forms I go through the notes to make sure everything needed is documented if not Leonard Verhagen, MD, PhD Jessica Karl, PhD, PA-C will addend the notes as necessary.",,,12/9/20 12:11
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,Dayanna Ocegueda,Duopa Enrollment,N,5,"As shown in the resource, only 33% of enrollment forms come in with complete chart notes and half of patients never start on Duopa. From your perspective, what do you think of these numbers?",,,"We talk at least once a week by phone, but she is able to send me e-mails now on an as needed basis which makes things run much smoother.",Dayanna Ocegueda Thank you for this feedback.  We are really interested in learning more about this communication.  Can you expand more on your communication with the DuoConnect nurse case manager?  How often do you speak with her/him?  Do you setup specific time to talk with them?  Any advice on how you have adjusted to make this communication better?,Kendall Cook,12/10/20 8:07
AbbVie Virtual Advisory Community,AbbVie_2020_12_02_Duopa Treatment Team Virtual Advisory Board,Duopa Treatment Team Virtual Advisory Board,12/1/20 21:00,12/11/20 19:00,"Sanjiv Parikh, MD, DRM",Duopa Enrollment,N,5,"As shown in the resource, only 33% of enrollment forms come in with complete chart notes and half of patients never start on Duopa. From your perspective, what do you think of these numbers?",,,"Very likely correct, but this is something that can be rectified by having the 'Facilitator' advocate followup with the involved Movement Disorder/Parkinson's Clinic.",,,12/4/20 11:39
