document;word_length
0.txt;225
1.txt;282
10.txt;132
11.txt;236
12.txt;121
13.txt;422
14.txt;95
15.txt;69
16.txt;746
17.txt;125
18.txt;316
19.txt;861
2.txt;128
20.txt;275
21.txt;244
22.txt;419
23.txt;373
24.txt;1236
25.txt;590
26.txt;409
27.txt;256
28.txt;270
29.txt;426
3.txt;100
30.txt;571
31.txt;650
32.txt;297
33.txt;373
34.txt;328
35.txt;207
36.txt;681
37.txt;7
38.txt;202
39.txt;111
4.txt;358
40.txt;109
5.txt;539
6.txt;315
7.txt;141
8.txt;1309
9.txt;334
