document_corpus;corpus
0.txt_adboard_data;adboard_data
1.txt_adboard_data;adboard_data
10.txt_adboard_data;adboard_data
11.txt_adboard_data;adboard_data
12.txt_adboard_data;adboard_data
13.txt_adboard_data;adboard_data
14.txt_adboard_data;adboard_data
15.txt_adboard_data;adboard_data
16.txt_adboard_data;adboard_data
17.txt_adboard_data;adboard_data
18.txt_adboard_data;adboard_data
19.txt_adboard_data;adboard_data
2.txt_adboard_data;adboard_data
20.txt_adboard_data;adboard_data
21.txt_adboard_data;adboard_data
22.txt_adboard_data;adboard_data
23.txt_adboard_data;adboard_data
24.txt_adboard_data;adboard_data
25.txt_adboard_data;adboard_data
26.txt_adboard_data;adboard_data
27.txt_adboard_data;adboard_data
28.txt_adboard_data;adboard_data
29.txt_adboard_data;adboard_data
3.txt_adboard_data;adboard_data
30.txt_adboard_data;adboard_data
31.txt_adboard_data;adboard_data
32.txt_adboard_data;adboard_data
33.txt_adboard_data;adboard_data
34.txt_adboard_data;adboard_data
35.txt_adboard_data;adboard_data
36.txt_adboard_data;adboard_data
37.txt_adboard_data;adboard_data
38.txt_adboard_data;adboard_data
39.txt_adboard_data;adboard_data
4.txt_adboard_data;adboard_data
40.txt_adboard_data;adboard_data
5.txt_adboard_data;adboard_data
6.txt_adboard_data;adboard_data
7.txt_adboard_data;adboard_data
8.txt_adboard_data;adboard_data
9.txt_adboard_data;adboard_data
