term;document_corpus;value
also;18.txt_adboard_data;0.002413718712209518
kitkit;0.txt_adboard_data;0.007262802333442097
sends;30.txt_adboard_data;0.00650362883836131
process;36.txt_adboard_data;0.004145301076936241
therefore;36.txt_adboard_data;0.00545311610382424
needsneeds;23.txt_adboard_data;0.007010616026906697
response;12.txt_adboard_data;0.01923370004615221
join;25.txt_adboard_data;0.005119364213804004
puzzle;34.txt_adboard_data;0.011321866057025329
parents;8.txt_adboard_data;0.0046148584967828305
allowed;23.txt_adboard_data;0.0062393504171164
make;34.txt_adboard_data;0.008052061487634984
well;38.txt_adboard_data;0.006163659538079127
players;29.txt_adboard_data;0.007090199263249677
examples;16.txt_adboard_data;0.008097653850252982
think;40.txt_adboard_data;0.0023862959311595922
located;36.txt_adboard_data;0.00545311610382424
eg;6.txt_adboard_data;0.01917730086440865
schedule;26.txt_adboard_data;0.004698808306787904
want;32.txt_adboard_data;0.004136920595677803
benefit;8.txt_adboard_data;0.009701209139337173
meal;8.txt_adboard_data;0.0014681532448252504
datedate;38.txt_adboard_data;0.018384020132199544
includes;8.txt_adboard_data;0.009988387234668442
thinkthink;22.txt_adboard_data;0.006280080161842183
external;36.txt_adboard_data;0.00545311610382424
required;24.txt_adboard_data;0.0018829107650359363
future;23.txt_adboard_data;0.005641110333164095
bring;6.txt_adboard_data;0.009588650432204325
ir;24.txt_adboard_data;0.0012268183570939228
kitkit;12.txt_adboard_data;0.013505210950615472
connect;26.txt_adboard_data;0.007384901922113355
utilized;9.txt_adboard_data;0.0180863765637387
mail;1.txt_adboard_data;0.02475827346366401
scenarioscenario;18.txt_adboard_data;0.01175181033767186
however;31.txt_adboard_data;0.0017671118603734938
together;24.txt_adboard_data;0.006219458244259718
dbs;18.txt_adboard_data;0.008327068315860362
houghton;30.txt_adboard_data;0.0036849985188620094
high;18.txt_adboard_data;0.007364802865773472
main;36.txt_adboard_data;0.0076797643995189365
several;20.txt_adboard_data;0.0076513969246189365
intuitiveintuitive;35.txt_adboard_data;0.017939961674900036
rolerole;34.txt_adboard_data;0.007972438347671336
could;19.txt_adboard_data;0.0017866041522366257
insertion;25.txt_adboard_data;0.006294189943566624
douglas;22.txt_adboard_data;0.006240954124191404
mdmd;30.txt_adboard_data;0.004075792829394776
come;38.txt_adboard_data;0.006985084028268624
may;28.txt_adboard_data;0.0026586659005567287
try;26.txt_adboard_data;0.002300692773751899
place;38.txt_adboard_data;0.010416505714208948
supplementsupplement;11.txt_adboard_data;0.01573547485891656
liked;35.txt_adboard_data;0.011242887466591387
tubing;26.txt_adboard_data;0.0051445822842792355
data;18.txt_adboard_data;0.014729605731546944
move;36.txt_adboard_data;0.006179542303289889
friends;0.txt_adboard_data;0.013424110605086055
think;27.txt_adboard_data;0.00203208012887809
long;19.txt_adboard_data;0.0018979448606556005
communication;30.txt_adboard_data;0.002471080514378743
description;34.txt_adboard_data;0.009208612457757203
issuesissues;27.txt_adboard_data;0.005511667866055711
nice;35.txt_adboard_data;0.0068163621918370144
ready;22.txt_adboard_data;0.011108724131667863
credit;1.txt_adboard_data;0.010710726546611215
heads;1.txt_adboard_data;0.02142145309322243
see;0.txt_adboard_data;0.0037132017839998114
systemsystem;17.txt_adboard_data;0.0241633990891549
npsnps;19.txt_adboard_data;0.003037119370541461
